TestDate,Time,Antenna1 GetTxPower,,
2014-12-12,14:48:14,14.798669,
2014-12-12,14:48:27,14.741025,
2014-12-12,14:48:41,14.617159,
2014-12-12,14:48:57,15.010045,
2014-12-12,14:49:09,13.412107,
2014-12-12,14:49:21,14.224669,
2014-12-12,14:49:33,15.185313,
2014-12-12,14:49:43,12.902285,
2014-12-12,14:49:54,14.704368,
2014-12-12,14:50:04,14.711040,
2014-12-12,14:50:31,14.859762,
2014-12-12,14:50:42,14.741211,
2014-12-12,14:50:52,14.700321,
2014-12-12,14:51:10,14.991456,
2014-12-12,14:51:20,13.454953,
2014-12-12,14:51:29,14.653492,
2014-12-12,14:51:40,15.200861,
2014-12-12,14:51:51,12.869257,
2014-12-12,14:52:01,14.722861,
2014-12-12,14:52:11,14.710860,
2014-12-12,14:52:44,14.819571,
2014-12-12,14:52:54,14.767266,
2014-12-12,14:53:05,14.673049,
2014-12-12,14:53:15,15.031719,
2014-12-12,14:53:26,13.474807,
2014-12-12,14:53:37,14.243555,
2014-12-12,14:53:50,15.157298,
2014-12-12,14:54:00,12.872403,
2014-12-12,14:54:10,14.710860,
2014-12-12,14:54:20,14.758054,
